Nurse,Day,Travel Time,Work Time
1,1,18.0,300
1,2,24.0,180
1,3,26.0,150
1,4,96.0,300
1,5,28.0,360
2,1,32.0,360
2,2,48.0,390
2,3,36.0,270
2,4,50.0,360
2,5,22.0,330
3,1,0.0,0
3,2,0.0,0
3,3,97.0,300
3,4,0.0,0
3,5,0.0,0
4,1,20.0,300
4,2,26.0,330
4,3,46.0,330
4,4,46.0,300
4,5,52.0,330
5,1,32.0,360
5,2,44.0,270
5,3,51.0,330
5,4,30.0,330
5,5,38.0,270
6,1,36.0,300
6,2,40.0,180
6,3,0.0,330
6,4,34.0,300
6,5,0.0,0
7,1,54.0,330
7,2,30.0,330
7,3,63.0,330
7,4,50.0,300
7,5,54.0,180
8,1,0.0,0
8,2,0.0,0
8,3,28.0,330
8,4,0.0,0
8,5,0.0,0
9,1,0.0,0
9,2,34.0,180
9,3,94.0,300
9,4,0.0,0
9,5,0.0,0
10,1,0.0,0
10,2,78.0,420
10,3,30.0,180
10,4,0.0,0
10,5,0.0,0
11,1,0.0,360
11,2,45.0,390
11,3,22.0,270
11,4,28.0,180
11,5,20.0,360
12,1,24.0,390
12,2,24.0,390
12,3,28.0,330
12,4,28.0,300
12,5,28.0,360
13,1,70.0,330
13,2,62.0,420
13,3,54.0,270
13,4,108.0,300
13,5,38.0,360
14,1,0.0,0
14,2,32.0,180
14,3,40.0,300
14,4,124.0,330
14,5,160.0,330
15,1,0.0,0
15,2,0.0,0
15,3,64.0,270
15,4,44.0,330
15,5,70.0,360
16,1,75.0,360
16,2,0.0,0
16,3,48.0,300
16,4,22.0,270
16,5,20.0,360
17,1,36.0,300
17,2,0.0,0
17,3,91.0,300
17,4,52.0,120
17,5,0.0,0
18,1,24.0,390
18,2,24.0,390
18,3,28.0,330
18,4,28.0,300
18,5,28.0,360
19,1,0.0,0
19,2,0.0,0
19,3,64.0,270
19,4,44.0,330
19,5,54.0,180
20,1,0.0,0
20,2,0.0,0
20,3,122.0,270
20,4,0.0,420
20,5,166.0,330
21,1,0.0,0
21,2,0.0,0
21,3,122.0,270
21,4,0.0,420
21,5,166.0,60
22,1,0.0,0
22,2,0.0,0
22,3,30.0,180
22,4,60.0,270
22,5,0.0,0
23,1,14.0,300
23,2,0.0,180
