,Duration,RN,LVN
0,10,2,2
1,6,2,1
2,13,2,3
3,12,1,3
4,12,2,2
5,10,3,7
6,6,1,3
7,6,1,2
8,5,2,2
9,9,1,2
10,6,1,3
11,6,2,3
12,6,2,2
13,5,2,1
14,13,2,4
15,11,2,3
16,8,4,6
17,6,2,3
18,9,1,2
19,6,3,4
20,9,6,6
21,6,3,3
22,6,2,4
23,5,3,5
24,4,3,4
25,6,3,5
26,4,2,4
27,9,1,3
28,8,1,1
29,6,2,2
30,8,2,3
31,6,1,2
32,11,3,3
33,10,4,6
34,6,1,2
35,6,1,4
36,14,2,1
37,6,1,2
38,12,2,4
39,12,2,2
40,12,2,3
41,12,2,3
42,6,3,5
43,11,2,3
44,6,1,2
45,7,2,2
46,4,1,2
47,5,3,3
48,5,1,2
49,5,2,1
50,2,1,3
51,3,1,1
52,4,1,2
53,4,1,2
54,8,1,3
55,4,1,3
56,1,2,3
57,5,1,2
58,3,1,2
59,2,1,2
60,5,1,2
