source,target,flow
0,1,1.0
0,2,1.0
0,4,1.0
0,5,1.0
0,6,1.0
0,7,1.0
0,11,1.0
0,12,1.0
0,13,1.0
0,16,1.0
0,17,1.0
0,18,1.0
0,23,1.0
1,24,1.0
2,32,1.0
4,29,1.0
5,28,1.0
6,29,1.0
7,26,1.0
11,28,1.0
12,32,1.0
13,27,1.0
16,30,1.0
17,29,1.0
18,26,1.0
23,24,1.0
24,33,2.0
25,34,2.0
26,35,2.0
27,36,1.0
28,37,2.0
29,38,3.0
30,39,1.0
31,40,1.0
32,41,2.0
33,42,1.0
33,64,1.0
34,54,1.0
34,57,1.0
35,53,1.0
35,59,1.0
36,43,1.0
37,46,1.0
37,52,1.0
38,45,1.0
38,47,1.0
38,58,1.0
39,25,1.0
40,56,1.0
41,25,1.0
41,31,1.0
42,65,1.0
43,65,1.0
45,65,1.0
46,65,1.0
47,65,1.0
52,65,1.0
53,65,1.0
54,65,1.0
56,65,1.0
57,65,1.0
58,65,1.0
59,65,1.0
64,65,1.0
65,0,13.0
