,90012
90304,27
90291,29
90033,9
90014,10
90012,0
91732,24
91401,25
90012,0
90033,9
90057,11
91601,20
90301,30
90003,19
90005,18
90033,9
91770,19
90014,10
90602,36
90014,10
90220,28
90004,14
90021,14
91605,24
90013,10
91744,32
90026,6
91352,24
90731,40
93534,80
90004,14
91405,31
91361,54
90026,6
90021,14
90015,9
91733,22
91321,64
90006,13
90007,11
91405,31
90021,14
90045,32
90017,8
93550,96
91340,29
91744,32
91744,32
90059,23
90021,14
90021,14
90021,14
93534,80
91711,56
91359,49
90731,40
91733,22
91410,29
90006,13
91340,29
93550,96
90017,8
90250,28
90016,16
92701,45
91731,24
91020,16
91744,32
91775,22
91748,33
90631,41
90711,34
90012,0
90022,18
90230,25
91345,26
91107,22
91343,30
91773,33
90022,18
91107,22
91321,64
91321,64
90711,34
90301,30
90301,30
91016,26
90745,29
90201,20
91758,49
90010,19
90601,28
91790,28
90255,24
91758,49
91740,31
90255,24
90026,6
91790,28
91770,19
90640,22
90740,42
90034,18
90740,42
90001,24
90025,22
91303,38
91324,36
91321,64
91767,37
92376,62
92530,90
90740,42
90723,28
90740,42
90059,23
91020,16
93550,96
93534,80
93534,80
