from,to,time
event0,event0,0
event1,event0,5
event2,event0,5
event3,event0,7
event4,event0,46
event5,event0,41
event6,event0,41
event7,event0,37
event8,event0,38
event9,event0,44
event10,event0,73
event11,event0,68
event12,event0,77
event13,event0,67
event14,event0,90
event15,event0,87
event16,event0,83
event17,event0,81
event18,event0,83
event19,event0,79
event20,event0,45
event21,event0,40
event22,event0,40
event23,event0,38
event24,event0,35
event25,event0,35
event26,event0,2
event27,event0,2
event28,event0,78
event29,event0,68
event30,event0,69
event31,event0,50
event32,event0,30
event33,event0,40
event34,event0,22
event35,event0,55
event36,event0,60
event37,event0,55
event38,event0,58
event39,event0,45
event40,event0,60
event41,event0,26
event42,event0,51
event43,event0,63
event44,event0,71
event45,event0,56
event46,event0,22
event47,event0,88
event48,event0,56
event49,event0,28
event0,event1,5
event1,event1,0
event2,event1,10
event3,event1,11
event4,event1,50
event5,event1,46
event6,event1,46
event7,event1,41
event8,event1,42
event9,event1,49
event10,event1,78
event11,event1,73
event12,event1,82
event13,event1,72
event14,event1,93
event15,event1,90
event16,event1,86
event17,event1,84
event18,event1,86
event19,event1,82
event20,event1,45
event21,event1,40
event22,event1,40
event23,event1,39
event24,event1,35
event25,event1,35
event26,event1,3
event27,event1,5
event28,event1,82
event29,event1,72
event30,event1,73
event31,event1,55
event32,event1,35
event33,event1,43
event34,event1,26
event35,event1,60
event36,event1,65
event37,event1,60
event38,event1,61
event39,event1,47
event40,event1,65
event41,event1,31
event42,event1,56
event43,event1,67
event44,event1,75
event45,event1,61
event46,event1,27
event47,event1,92
event48,event1,60
event49,event1,33
event0,event2,5
event1,event2,10
event2,event2,0
event3,event2,3
event4,event2,40
event5,event2,35
event6,event2,36
event7,event2,31
event8,event2,32
event9,event2,39
event10,event2,69
event11,event2,64
event12,event2,72
event13,event2,63
event14,event2,89
event15,event2,86
event16,event2,82
event17,event2,80
event18,event2,82
event19,event2,78
event20,event2,48
event21,event2,42
event22,event2,43
event23,event2,40
event24,event2,37
event25,event2,38
event26,event2,7
event27,event2,5
event28,event2,74
event29,event2,67
event30,event2,66
event31,event2,45
event32,event2,25
event33,event2,39
event34,event2,19
event35,event2,51
event36,event2,55
event37,event2,52
event38,event2,56
event39,event2,46
event40,event2,55
event41,event2,21
event42,event2,47
event43,event2,60
event44,event2,68
event45,event2,51
event46,event2,18
event47,event2,85
event48,event2,53
event49,event2,24
event0,event3,7
event1,event3,11
event2,event3,3
event3,event3,0
event4,event3,40
event5,event3,35
event6,event3,35
event7,event3,30
event8,event3,31
event9,event3,38
event10,event3,70
event11,event3,65
event12,event3,73
event13,event3,64
event14,event3,91
event15,event3,89
event16,event3,85
event17,event3,83
event18,event3,84
