perm_string,objective
"3,2,0,4,1",7440.0
"2,4,3,1,0",7472.0
"2,0,1,4,3",7603.0
"3,0,4,1,2",7633.0
"3,1,4,0,2",7628.0
"1,3,4,0,2",7583.0
"3,1,0,2,4",7692.0
"1,4,3,2,0",7405.0
"0,3,1,4,2",7610.0
"4,1,3,0,2",7461.0
"0,2,1,4,3",7644.0
"0,3,2,1,4",7789.0
"0,1,2,3,4",7722.0
"4,0,3,2,1",7598.0
"0,2,3,4,1",7436.0
"0,4,3,1,2",7597.0
"4,2,0,1,3",7663.0
"1,0,2,4,3",7635.0
"3,1,0,4,2",7653.0
"1,4,3,0,2",7552.0
"1,3,4,2,0",7398.0
"2,0,1,3,4",7676.0
"3,1,4,2,0",7436.0
"3,0,4,2,1",7555.0
"2,4,3,0,1",7381.0
"3,2,0,1,4",7639.0
"1,0,2,3,4",7721.0
"4,2,0,3,1",7567.0
"0,2,3,1,4",7640.0
"0,4,3,2,1",7575.0
"0,3,2,4,1",7441.0
"4,0,3,1,2",7623.0
"0,1,2,4,3",7630.0
"0,3,1,2,4",7659.0
"0,2,1,3,4",7724.0
"4,1,3,2,0",7458.0
"1,2,0,3,4",7712.0
"1,3,0,4,2",7583.0
"4,3,0,1,2",7630.0
"1,3,2,4,0",7462.0
"4,2,3,1,0",7425.0
"2,0,4,1,3",7749.0
"4,0,2,3,1",7521.0
"2,1,0,4,3",7582.0
"4,0,1,3,2",7687.0
"2,3,1,4,0",7395.0
"2,3,4,0,1",7373.0
"3,4,0,1,2",7625.0
"4,2,3,0,1",7407.0
"1,3,2,0,4",7742.0
"4,3,0,2,1",7596.0
"1,3,0,2,4",7826.0
"1,2,0,4,3",7608.0
"3,4,0,2,1",7665.0
"2,3,4,1,0",7401.0
"2,3,1,0,4",7760.0
"4,0,1,2,3",7674.0
"2,1,0,3,4",7640.0
"2,0,4,3,1",7593.0
"4,0,2,1,3",7679.0
"0,3,4,2,1",7538.0
"0,1,3,4,2",7599.0
"1,0,4,2,3",7731.0
"4,1,0,2,3",7734.0
"0,2,4,1,3",7693.0
"4,1,2,3,0",7403.0
"0,1,4,2,3",7796.0
"1,0,3,2,4",7851.0
"0,4,1,3,2",7689.0
"0,4,2,3,1",7542.0
"3,0,2,4,1",7524.0
"3,1,2,4,0",7384.0
"3,2,1,0,4",7664.0
"3,0,1,2,4",7763.0
"1,4,2,0,3",7536.0
"3,2,4,0,1",7540.0
"1,4,0,3,2",7620.0
"0,4,2,1,3",7671.0
"1,0,3,4,2",7622.0
"0,4,1,2,3",7720.0
"0,2,4,3,1",7557.0
"0,1,4,3,2",7669.0
"4,1,2,0,3",7545.0
"0,3,4,1,2",7629.0
"4,1,0,3,2",7639.0
"0,1,3,2,4",7734.0
"1,0,4,3,2",7660.0
"3,2,4,1,0",7455.0
"1,4,0,2,3",7670.0
"1,4,2,3,0",7419.0
"3,0,1,4,2",7612.0
"3,2,1,4,0",7427.0
"3,1,2,0,4",7782.0
"3,0,2,1,4",7656.0
"2,1,3,0,4",7694.0
"2,4,1,3,0",7510.0
"2,0,3,4,1",7478.0
"2,4,0,3,1",7527.0
"3,4,1,2,0",7407.0
"2,1,4,0,3",7549.0
"3,4,2,0,1",7398.0
"2,3,0,1,4",7810.0
"1,2,4,0,3",7633.0
"1,2,3,4,0",7426.0
"4,3,2,1,0",7487.0
"4,2,1,0,3",7607.0
"4,3,1,2,0",7455.0
"2,3,0,4,1",7507.0
"3,4,2,1,0",7459.0
"3,4,1,0,2",7541.0
"2,4,0,1,3",7704.0
"2,1,4,3,0",7410.0
"2,0,3,1,4",7633.0
"2,1,3,4,0",7397.0
"2,4,1,0,3",7653.0
"4,3,1,0,2",7515.0
"4,2,1,3,0",7377.0
"4,3,2,0,1",7518.0
"1,2,3,0,4",7780.0
"1,2,4,3,0",7406.0
