perm_string,objective
"3,2,0,4,1",5850.0
"2,4,3,1,0",5831.0
"2,0,1,4,3",5867.0
"3,0,4,1,2",5879.0
"3,1,4,0,2",5862.0
"1,3,4,0,2",5865.0
"3,1,0,2,4",5874.0
"1,4,3,2,0",5824.0
"0,3,1,4,2",5872.0
"4,1,3,0,2",5877.0
"0,2,1,4,3",5875.0
"0,3,2,1,4",5878.0
"0,1,2,3,4",5831.0
"4,0,3,2,1",5898.0
"0,2,3,4,1",5875.0
"0,4,3,1,2",5876.0
"4,2,0,1,3",5907.0
"1,0,2,4,3",5853.0
"3,1,0,4,2",5859.0
"1,4,3,0,2",5861.0
"1,3,4,2,0",5884.0
"2,0,1,3,4",5828.0
"3,1,4,2,0",5945.0
"3,0,4,2,1",5878.0
"3,2,0,1,4",5838.0
"1,0,2,3,4",5829.0
"4,2,0,3,1",5876.0
"0,2,3,1,4",5861.0
"0,4,3,2,1",5904.0
"0,3,2,4,1",5877.0
"4,0,3,1,2",5876.0
"0,1,2,4,3",5866.0
"0,3,1,2,4",5880.0
"0,2,1,3,4",5850.0
"4,1,3,2,0",5870.0
"1,2,0,3,4",5822.0
"1,3,0,4,2",5832.0
"4,3,0,1,2",5874.0
"1,3,2,4,0",5825.0
"4,2,3,1,0",5825.0
"2,0,4,1,3",5915.0
"4,0,2,3,1",5852.0
"2,1,0,4,3",5845.0
"4,0,1,3,2",5843.0
"2,3,1,4,0",5804.0
"2,3,4,0,1",5876.0
"3,4,0,1,2",5878.0
"4,2,3,0,1",5845.0
"1,3,2,0,4",5840.0
"4,3,0,2,1",5899.0
"1,3,0,2,4",5874.0
"1,2,0,4,3",5840.0
"3,4,0,2,1",5895.0
"2,3,4,1,0",5880.0
"2,3,1,0,4",5816.0
"4,0,1,2,3",5965.0
"2,1,0,3,4",5808.0
"2,0,4,3,1",5884.0
"4,0,2,1,3",5928.0
"0,3,4,2,1",5905.0
"0,1,3,4,2",5860.0
"1,0,4,2,3",5921.0
"4,1,0,2,3",5978.0
"0,2,4,1,3",5965.0
"4,1,2,3,0",5836.0
"0,1,4,2,3",5964.0
"1,0,3,2,4",5865.0
"0,4,1,3,2",5865.0
"0,4,2,3,1",5894.0
"3,0,2,4,1",5865.0
"3,1,2,4,0",5807.0
"3,2,1,0,4",5832.0
"3,0,1,2,4",5857.0
"1,4,2,0,3",5847.0
"3,2,4,0,1",5874.0
"1,4,0,3,2",5828.0
"0,4,2,1,3",5953.0
"1,0,3,4,2",5835.0
"0,4,1,2,3",5952.0
"0,2,4,3,1",5874.0
"0,1,4,3,2",5857.0
"4,1,2,0,3",5947.0
"0,3,4,1,2",5874.0
"4,1,0,3,2",5840.0
"0,1,3,2,4",5861.0
"1,0,4,3,2",5855.0
"3,2,4,1,0",5856.0
"1,4,0,2,3",5899.0
"1,4,2,3,0",5799.0
"3,0,1,4,2",5844.0
"3,2,1,4,0",5812.0
"3,1,2,0,4",5832.0
"3,0,2,1,4",5856.0
"2,1,3,0,4",5821.0
"2,4,1,3,0",5814.0
"2,0,3,4,1",5863.0
"2,4,0,3,1",5856.0
"3,4,1,2,0",5881.0
"2,1,4,0,3",5829.0
"3,4,2,0,1",5862.0
"2,3,0,1,4",5901.0
"1,2,4,0,3",5845.0
"1,2,3,4,0",5813.0
"4,3,2,1,0",5817.0
"4,2,1,0,3",5858.0
"4,3,1,2,0",5892.0
"2,3,0,4,1",5880.0
"3,4,2,1,0",5850.0
"3,4,1,0,2",5840.0
"2,4,0,1,3",5948.0
"2,1,4,3,0",5852.0
"2,0,3,1,4",5873.0
"2,1,3,4,0",5810.0
"2,4,1,0,3",5838.0
"4,3,1,0,2",5877.0
"4,2,1,3,0",5806.0
"4,3,2,0,1",5846.0
"1,2,3,0,4",5828.0
"1,2,4,3,0",5833.0
