perm_string,objective
"3,2,0,4,1",7770.0
"2,4,3,1,0",7762.0
"2,0,1,4,3",7751.0
"3,0,4,1,2",7758.0
"3,1,4,0,2",7758.0
"1,3,4,0,2",7764.0
"3,1,0,2,4",7760.0
"1,4,3,2,0",7778.0
"0,3,1,4,2",7762.0
"4,1,3,0,2",7762.0
"0,2,1,4,3",7769.0
"0,3,2,1,4",7798.0
"0,1,2,3,4",7786.0
"4,0,3,2,1",7755.0
"0,2,3,4,1",7779.0
"0,4,3,1,2",7765.0
"4,2,0,1,3",7779.0
"1,0,2,4,3",7771.0
"3,1,0,4,2",7722.0
"1,4,3,0,2",7763.0
"1,3,4,2,0",7771.0
"2,0,1,3,4",7771.0
"3,1,4,2,0",7761.0
"3,0,4,2,1",7767.0
"2,4,3,0,1",7753.0
"3,2,0,1,4",7760.0
"1,0,2,3,4",7771.0
"4,2,0,3,1",7761.0
"0,2,3,1,4",7766.0
"0,4,3,2,1",7795.0
"0,3,2,4,1",7766.0
"4,0,3,1,2",7753.0
"0,1,2,4,3",7756.0
"0,3,1,2,4",7827.0
"0,2,1,3,4",7782.0
"4,1,3,2,0",7774.0
"1,2,0,3,4",7772.0
"1,3,0,4,2",7756.0
"4,3,0,1,2",7775.0
"1,3,2,4,0",7752.0
"4,2,3,1,0",7756.0
"2,0,4,1,3",7787.0
"4,0,2,3,1",7778.0
"2,1,0,4,3",7757.0
"4,0,1,3,2",7765.0
"2,3,1,4,0",7746.0
"2,3,4,0,1",7752.0
"3,4,0,1,2",7790.0
"4,2,3,0,1",7746.0
"1,3,2,0,4",7826.0
"4,3,0,2,1",7744.0
"1,3,0,2,4",7783.0
"1,2,0,4,3",7751.0
"3,4,0,2,1",7745.0
"2,3,4,1,0",7747.0
"2,3,1,0,4",7834.0
"4,0,1,2,3",7788.0
"2,1,0,3,4",7778.0
"2,0,4,3,1",7768.0
"4,0,2,1,3",7767.0
"0,3,4,2,1",7768.0
"0,1,3,4,2",7766.0
"1,0,4,2,3",7767.0
"4,1,0,2,3",7760.0
"0,2,4,1,3",7788.0
"4,1,2,3,0",7758.0
"0,1,4,2,3",7781.0
"1,0,3,2,4",7806.0
"0,4,1,3,2",7777.0
"0,4,2,3,1",7760.0
"3,0,2,4,1",7746.0
"3,1,2,4,0",7764.0
"3,2,1,0,4",7811.0
"3,0,1,2,4",7786.0
"1,4,2,0,3",7811.0
"3,2,4,0,1",7746.0
"1,4,0,3,2",7762.0
"0,4,2,1,3",7779.0
"1,0,3,4,2",7745.0
"0,4,1,2,3",7787.0
"0,2,4,3,1",7778.0
"0,1,4,3,2",7769.0
"4,1,2,0,3",7796.0
"0,3,4,1,2",7777.0
"4,1,0,3,2",7753.0
"0,1,3,2,4",7792.0
"1,0,4,3,2",7779.0
"3,2,4,1,0",7752.0
"1,4,0,2,3",7777.0
"1,4,2,3,0",7776.0
"3,0,1,4,2",7748.0
"3,2,1,4,0",7744.0
"3,1,2,0,4",7800.0
"3,0,2,1,4",7763.0
"2,1,3,0,4",7824.0
"2,4,1,3,0",7789.0
"2,0,3,4,1",7732.0
"2,4,0,3,1",7785.0
"3,4,1,2,0",7753.0
"2,1,4,0,3",7772.0
"3,4,2,0,1",7734.0
"2,3,0,1,4",7763.0
"1,2,4,0,3",7813.0
"1,2,3,4,0",7752.0
"4,3,2,1,0",7740.0
"4,2,1,0,3",7782.0
"4,3,1,2,0",7754.0
"2,3,0,4,1",7755.0
"3,4,2,1,0",7753.0
"3,4,1,0,2",7770.0
"2,4,0,1,3",7758.0
"2,1,4,3,0",7764.0
"2,0,3,1,4",7757.0
"2,1,3,4,0",7737.0
"2,4,1,0,3",7788.0
"4,3,1,0,2",7756.0
"4,2,1,3,0",7751.0
"4,3,2,0,1",7731.0
"1,2,3,0,4",7823.0
"1,2,4,3,0",7772.0
